MAZ,taz
11466,1131
11467,1061
11468,1131
11469,1131
11470,1206
11471,1166
11472,1206
11473,1206
11474,1115
11475,1019
11476,1099
11477,1099
11478,679
11479,679
11487,555
11488,555
11489,555
11490,555
11491,686
11492,686
11493,686
11494,555
11495,686
11496,551
11498,551
11499,655
11500,655
11501,655
11505,888
11506,880
11507,880
11508,794
11509,1032
11510,865
11511,794
11512,794
11513,870
11514,870
11515,794
11516,686
11517,794
11518,794
11519,655
11520,655
11521,655
11522,561
11523,561
11524,561
11525,561
11526,561
11527,561
11528,519
11529,561
11530,519
11534,510
11535,561
11536,596
11537,510
11538,706
11539,596
11540,706
11541,706
11542,629
11543,629
11544,629
11545,699
11546,629
11547,629
11548,699
11549,699
11550,699
11551,699
11552,699
11553,699
11554,865
11555,865
11556,809
11557,809
11558,809
11559,789
11560,789
11561,789
11562,789
11563,814
11564,892
11695,892
11696,892
11697,892
11698,892
11699,970
11700,966
11701,908
11702,916
11703,966
12692,2134
12693,2064
12694,2064
12695,2064
12696,2064
12697,2064
12698,2064
12699,1227
12700,1227
12701,1227
12702,1385
12703,1385
12704,1385
12705,1385
12706,810
12707,810
12708,980
12709,898
12710,952
12711,952
12712,952
12713,952
12714,1255
12780,978
12781,860
12782,841
12783,841
12794,1183
12799,1284
12800,1284
12801,1299
12802,1396
12804,1396
12857,1102
12984,1819
12985,1819
13156,1514
13157,1514
13158,1471
13159,1471
13160,1465
13161,1465
13162,1465
13163,1465
13164,1471
13165,1465
13166,1445
13167,1445
13168,1445
13171,1465
13172,1383
13173,1387
13174,1387
13175,1387
13176,1387
13177,1387
13178,1387
13179,1362
13180,1282
13181,1349
13182,1293
13183,1282
13184,1349
13185,1349
13186,1349
13187,1293
13188,1293
13189,1325
13339,1459
13343,1459
13344,1459
13345,1459
13346,1459
13644,1461
13645,1461
13646,1461
13647,1388
13648,1388
13649,1388
13650,1388
13651,1420
13652,1420
13653,1420
13654,1420
13655,1420
13658,1461
13659,1461
13685,1369
13686,1369
13687,1388
13688,1359
13689,1359
13690,1359
13691,1359
13692,1359
13693,1323
13694,1323
13695,1268
13696,1323
13697,1323
13698,1295
13699,1295
13700,1295
13701,1252
13702,1252
13703,1208
13704,1208
13705,1208
13706,1113
13707,1057
13708,1142
13709,1142
13710,1142
13711,1142
13712,1149
13713,1208
13714,1057
13715,1149
13716,1057
13717,1149
13718,1149
13719,1149
13720,1149
